verbatimIdentification,vernacularName,scientificName
Barking_Deer,Indian muntjac,Muntiacus muntjac
Black_Naped_Hare,Indian hare,Lepus nigricollis
Bonnet_Macaque,Bonnet macaque,Macaca radiata
Brown_Mongoose,Brown mongoose,Herpestes fuscus
Brown_Palm_Civet,Brown palm civet,Paradoxurus jerdoni
Common_Langur,Black-footed gray langur,Semnopithecus hypoleucos
Dhole,Dhole,Cuon alpinus
Nilgiri_striped_squirrel,Dusky-striped squirrel,Funambulus sublineatus
Elephant,Elephant,Elephas maximus
Gaur,Gaur,Bos gaurus
Jungle_striped_Squirrel,Jungle-striped squirrel,Funambulus tristriatus
Large_Brown_Flying_Squirrel,Large brown flying squirrel,Petaurista philippensis
Leopard,Leopard,Panthera pardus
Malabar_Giant_Squirrel,Malabar giant squirrel,Ratufa indica
Monitor lizard,Bengal monitor,Varanus bengalensis
Mouse_Deer,Indian spotted chevrotain,Moschiola indica
Nilgiri_Marten,Nilgiri marten,Martes gwatkinsii
Porcupine,Porcupine,Hystrix indica
Ruddy_Mongoose,Ruddy mongoose,Herpestes smithii
Sambar,Sambar,Rusa unicolor
Sloth_Bear,Sloth bear,Melursus ursinus
Small_Indian_Civet,Small indian civet,Viverricula indica
Smooth_coated_Otter,Smooth coated otter,Lutrogale perspicillata
Stripe_necked_Mongoose,Stripe-necked mongoose,Herpestes vitticollis
Tiger,Tiger,Panthera tigris
Wild_pig,Wild pig,Sus scrofa
Common_Mongoose,Indian grey mongoose,Urva edwardsii
Leopard_Cat,Leopard cat,Prionailurus bengalensis
Slender_Loris,Slender loris,Loris lydekkerianus
Duttaphrynus_parietalis,Ridged toad,Duttaphrynus parietalis
nilgiri_keelback,Nilgiri keelback,Amphiesma beddomei
malabar_pit_Viper,Malabar pit viper,Craspedocephalus malabaricus
farnsworths_vine_snake,Farnsworth's vine snake,Ahaetulla farnsworthi
Pseudophilautus_wynaadensis,Wynaad bush frog,Pseudophilautus wynaadensis
rat_snake,Rat snake,Ptyas mucosa
